TMF_ID,FW_ID,PFAS_ID,Study_ID,ln_TMF,ln_TMF_se
TMF_040,FW_003,6:2 FTSA,S_002,-2.3025850929940455,0.5102040816326531
TMF_041,FW_003,FOSA,S_002,0.26236426446749106,0.11773940345368919
TMF_042,FW_003,NMeFOSAA,S_002,0.1823215567939546,0.27636054421768713
TMF_045,FW_004,PFNA,S_002,0.3364722366212129,1.676384839650146
TMF_046,FW_004,PFDA,S_002,2.388762789235098,1.366785246208575
TMF_047,FW_004,PFUnDA,S_002,1.4350845252893227,0.4737609329446063
TMF_048,FW_004,PFDoDA,S_002,0.7419373447293773,0.5830903790087464
TMF_049,FW_004,PFTrDA,S_002,0.5877866649021191,0.42517006802721086
TMF_050,FW_004,PFTeDA,S_002,-0.35667494393873245,1.6763848396501457
TMF_053,FW_004,l-PFOS,S_002,0.8754687373538999,0.06377551020408169
TMF_054,FW_004,br-PFOS,S_002,2.1162555148025524,0.19055815097123188
TMF_055,FW_004,PFOS,S_002,0.9555114450274363,0.058869701726844637
TMF_056,FW_004,PFDS,S_002,2.884800712846709,1.6246722152548172
TMF_058,FW_004,FOSA,S_002,-0.5108256237659907,0.08503401360544216
TMF_061,FW_005,PFOA,S_002,-0.6931471805599453,0.20408163265306117
TMF_062,FW_005,PFNA,S_002,1.1314021114911006,0.11520737327188943
TMF_063,FW_005,PFDA,S_002,0.9555114450274363,0.11773940345368919
TMF_064,FW_005,PFUnDA,S_002,0.8754687373538999,0.14880952380952386
TMF_065,FW_005,PFDoDA,S_002,0.5877866649021191,0.17006802721088438
TMF_066,FW_005,PFTrDA,S_002,0.6418538861723947,0.18796992481203004
TMF_067,FW_005,PFTeDA,S_002,0.7419373447293773,0.14577259475218657
TMF_068,FW_005,PFHxS,S_002,1.308332819650179,0.3447324875896305
TMF_069,FW_005,PFHpS,S_002,2.1162555148025524,0.362675190558151
TMF_070,FW_005,l-PFOS,S_002,1.1939224684724346,0.20098948670377242
TMF_071,FW_005,br-PFOS,S_002,0.6418538861723947,0.24167561761546721
TMF_072,FW_005,PFOS,S_002,1.1314021114911006,0.19749835418038186
TMF_073,FW_005,PFDS,S_002,0.7419373447293773,0.14577259475218657
TMF_074,FW_005,6:2 FTSA,S_002,-0.6931471805599453,0.10204081632653059
TMF_075,FW_005,FOSA,S_002,-0.35667494393873245,0.07288629737609328
TMF_076,FW_005,NMeFOSAA,S_002,0.8329091229351039,0.17746228926353155
TMF_077,FW_005,NEtFOSAA,S_002,-0.916290731874155,0.1275510204081632
TMF_078,FW_006,PFOA,S_002,-0.5621189181535413,1.163623344074472
TMF_079,FW_006,PFNA,S_002,1.5040773967762742,0.47619047619047605
TMF_080,FW_006,PFDA,S_002,1.1939224684724346,0.2937538651824366
TMF_081,FW_006,PFUnDA,S_002,0.9162907318741551,0.32653061224489793
TMF_082,FW_006,PFDoDA,S_002,0.7419373447293773,0.315840621963071
TMF_083,FW_006,PFTrDA,S_002,0.9162907318741551,0.40816326530612246
TMF_084,FW_006,PFTeDA,S_002,1.0296194171811581,0.41909620991253643
TMF_085,FW_006,PFHxS,S_002,-0.916290731874155,0.6377551020408163
