"parameter_index","tau2","log_likelihood"
50,1.37115421799923,-1001.76388326903
50,1.45544648549918,-1002.42667426169
50,1.53973875299914,-1003.0781617562
50,1.62403102049909,-1003.70985996393
50,1.70832328799904,-1004.32979169606
51,0.0505009365404558,-999.907380873151
51,0.0903700969671314,-997.198204583963
51,0.130239257393807,-995.785229990661
51,0.170108417820483,-995.171996108731
51,0.209977578247158,-995.055921950498
51,0.249846738673834,-995.253072900993
51,0.289715899100509,-995.658084498881
51,0.329585059527185,-996.19838915639
51,0.369454219953861,-996.828489281164
51,0.409323380380536,-997.517985187129
51,0.449192540807212,-998.249018574583
51,0.489061701233887,-998.998427900549
51,0.528930861660563,-999.764712098382
51,0.568800022087239,-1000.54061351402
51,0.608669182513914,-1001.31208330461
51,0.64853834294059,-1002.08407816941
51,0.688407503367265,-1002.85095965586
51,0.728276663793941,-1003.61071605367
51,0.768145824220617,-1004.36191440017
51,0.808014984647292,-1005.10354268672
