"","Study_ID","filename","group_id","plot_type","software","TL_mean","log_PFOS_mean","log_PFBA_mean","log_PFHxA_mean","log_PFOA_mean","log_PFUnDA_mean","log_PFTrDA_mean","log_PFBS_mean"
"93","S_023","Du_2021","PFBS, species 13","Scatter plot","Webplot Digitiser",3.539432177,NA,NA,NA,NA,NA,NA,-2.411066281
"94","S_023","Du_2021","PFBS, species 14","Scatter plot","Webplot Digitiser",3.615141956,NA,NA,NA,NA,NA,NA,-3.609595308
"95","S_023","Du_2021","PFBS, species 15","Scatter plot","Webplot Digitiser",3.507886435,NA,NA,NA,NA,NA,NA,-4.538290604
"96","S_023","Du_2021","PFBS, species 16","Scatter plot","Webplot Digitiser",3.552050473,NA,NA,NA,NA,NA,NA,-4.518740087
"97","S_023","Du_2021","PFOS, species 1","Scatter plot","Webplot Digitiser",1.982797964,-0.633333333,NA,NA,NA,NA,NA,NA
"98","S_023","Du_2021","PFOS, species 2","Scatter plot","Webplot Digitiser",2.094400562,0.722222222,NA,NA,NA,NA,NA,NA
"99","S_023","Du_2021","PFOS, species 3","Scatter plot","Webplot Digitiser",2.236440232,-1.188888889,NA,NA,NA,NA,NA,NA
"100","S_023","Du_2021","PFOS, species 4","Scatter plot","Webplot Digitiser",2.642618922,1.7,NA,NA,NA,NA,NA,NA
"101","S_023","Du_2021","PFOS, species 5","Scatter plot","Webplot Digitiser",2.774548008,2.188888889,NA,NA,NA,NA,NA,NA
"102","S_023","Du_2021","PFOS, species 6","Scatter plot","Webplot Digitiser",2.97988415,0.211111111,NA,NA,NA,NA,NA,NA
"103","S_023","Du_2021","PFOS, species 7","Scatter plot","Webplot Digitiser",3.117886607,0.855555556,NA,NA,NA,NA,NA,NA
"104","S_023","Du_2021","PFOS, species 8","Scatter plot","Webplot Digitiser",3.071686853,2.1,NA,NA,NA,NA,NA,NA
"105","S_023","Du_2021","PFOS, species 9","Scatter plot","Webplot Digitiser",3.230858346,1.344444444,NA,NA,NA,NA,NA,NA
"106","S_023","Du_2021","PFOS, species 10","Scatter plot","Webplot Digitiser",3.318079691,2.133333333,NA,NA,NA,NA,NA,NA
"107","S_023","Du_2021","PFOS, species 11","Scatter plot","Webplot Digitiser",3.455818852,-1.055555556,NA,NA,NA,NA,NA,NA
"108","S_023","Du_2021","PFOS, species 12","Scatter plot","Webplot Digitiser",3.512023872,-0.633333333,NA,NA,NA,NA,NA,NA
"109","S_023","Du_2021","PFOS, species 13","Scatter plot","Webplot Digitiser",3.542531157,0.055555556,NA,NA,NA,NA,NA,NA
"110","S_023","Du_2021","PFOS, species 14","Scatter plot","Webplot Digitiser",3.49773565,0.411111111,NA,NA,NA,NA,NA,NA
"111","S_023","Du_2021","PFOS, species 15","Scatter plot","Webplot Digitiser",3.616043532,1.522222222,NA,NA,NA,NA,NA,NA
"112","S_023","Du_2021","PFOS, species 16","Scatter plot","Webplot Digitiser",3.570826751,2.144444444,NA,NA,NA,NA,NA,NA
