Initials_double_checker,Initials_data_extraction,PFAS_ID,Synonym,Acronyms_comment,Compound_full_name,Compound_full_name_comment,Molecular_formula,ccl,ccl_comment,Chain_length,Class,Chain_length_comment,CASRN,PFAS_data_comment,perfluoroalkyl_ccl
,LR,PFNS,NA,NA,Perfluorononanesulfonic acid,NA,C9F19SO3H,9,NA,long,PFSA,NA,NA,NA,9
,LR,PFDS,NA,NA,Perfluorodecanesulfonic acid,NA,C10F21SO3H,10,NA,long,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,355-77-3,NA,10
,LR,PFUnDS,PFUnS,according to https://pfas-1.itrcweb.org/acronyms/,Perfluoroundecane sulfonic acid,NA,NA,11,NA,long,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,NA,NA,11
,LR,PFDoDS,PFDoS,according to https://pfas-1.itrcweb.org/acronyms/,perfluorododecane sulfonate,NA,NA,12,NA,long,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,NA,NA,12
,LR,PFTrDS,PFTriS,according to https://pfas-1.itrcweb.org/acronyms/,Perfluorotridecane sulfonic acid,NA,NA,13,NA,long,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,NA,NA,13
,LR,PFTeDS,PFTS,according to https://pfas-1.itrcweb.org/acronyms/,Perfluorotetradecane sulfonic acid,NA,NA,14,NA,long,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,NA,NA,14
,LR,FOSA,PFOSA,according to https://pfas-1.itrcweb.org/acronyms/,Perfluorooctanesulfonamide,NA,C8F17SO2NH2,8,NA,long,Precursor and/or intermediate,NA,754-91-6,NA,8
,LR,l-FOSA,NA,NA,Linear perfluorooctanesulfonamide,NA,NA,8,NA,long,Precursor and/or intermediate,NA,NA,NA,8
,LR,br-FOSA,NA,NA,Branched perfluorooctanesulfonamide,NA,NA,8,NA,long,Precursor and/or intermediate,NA,NA,NA,8
,LR,NMeFOSAA,NA,NA,(N-methylperfluorooctanesulfonamido)acetic acid,from https://pubchem.ncbi.nlm.nih.gov/compound/22286931#section=Wikidata,C11H6F17O4NS,11,NA,long,Precursor and/or intermediate,NA,NA,NA,11
,LR,NEtFOSAA,NA,NA,N-Ethyl-N-[(heptadecafluorooctyl)sulphonyl]glycine,from https://pubchem.ncbi.nlm.nih.gov/compound/N-Ethyl-N-_heptadecafluorooctyl_sulphonyl_glycine,C12H8F17O4NS,12,NA,long,Precursor and/or intermediate,NA,NA,NA,12
,LR,4:2 FTSA,NA,NA,4:2 fluorotelomer sulfonic acid,NA,C4F13CH2CH2SO3 -,6,NA,short,Precursor and/or intermediate,NA,NA,NA,4
,LR,6:2 FTSA,NA,NA,6:2 fluorotelomer sulfonic acid,NA,C6F13CH2CH2SO3 -,8,NA,long,Precursor and/or intermediate,NA,NA,NA,6
,LR,8:2 FTSA,NA,NA,"1H,1H,2H,2H-perfluorodecane sulfonate",NA,C8F17CH2CH2SO3 -,10,NA,long,Precursor and/or intermediate,NA,NA,NA,8
